,year,fuel_type,statistic,autobahn_coef,standard_error,p_value,ci_low,ci_high,n_observed
33,2021,e5,mean,0.18521867182910373,0.006392268734007023,0.0,0.1726900320178374,0.19774731164037007,651202
34,2022,e5,mean,0.20251453114086337,0.007294832927318362,0.0,0.18821689449400145,0.2168121677877253,645594
35,2023,e5,mean,0.26769648307578514,0.009667585118984101,0.0,0.24874832841699174,0.28664463773457854,637660
36,2024,e5,mean,0.28444783130749524,0.011971419855367873,0.0,0.2609842340352057,0.30791142857978476,624745
37,2025,e5,mean,0.3010386598668825,0.012984294710613012,0.0,0.2755898599159254,0.3264874598178396,617363
38,2026,e5,mean,0.29249391006892356,0.01387973976363586,0.0,0.26528979138925046,0.31969802874859665,100633
39,2014,e5,median,0.04297256712245135,0.0016643598544481754,0.0,0.03971047078717065,0.04623466345773205,360727
40,2015,e5,median,0.051422896090317846,0.0020252404564950833,0.0,0.04745349029919851,0.055392301881437185,646816
41,2016,e5,median,0.06567896437926639,0.0026427588135634794,0.0,0.0604992431353364,0.07085868562319637,685955
42,2017,e5,median,0.08122263439244141,0.003058793968418709,0.0,0.07522749802220186,0.08721777076268097,701428
43,2018,e5,median,0.10654153816448243,0.003236652947592773,0.0,0.10019780401717646,0.11288527231178841,702620
44,2019,e5,median,0.14697353442612476,0.004691463313372678,0.0,0.13777841923249998,0.15616864961974955,693535
45,2020,e5,median,0.17272274306245958,0.006034995383568336,0.0,0.16089434782812614,0.184551138296793,662460
46,2021,e5,median,0.1877484125526115,0.006477033422843537,0.0,0.1750536366949213,0.20044318841030168,651202
47,2022,e5,median,0.20880923121796627,0.00751020628781882,0.0,0.194089469748983,0.22352899268694953,645594
48,2023,e5,median,0.2720381905374357,0.009829718319595946,0.0,0.25277226004085984,0.2913041210340116,637660
49,2024,e5,median,0.28672710017825653,0.012059299046783566,0.0,0.26309126252170983,0.31036293783480323,624745
50,2025,e5,median,0.30439804776346696,0.013124051949514092,0.0,0.27867532812000745,0.3301207674069265,617363
51,2026,e5,median,0.2962715146044715,0.014106640552750727,0.0,0.26862267317777944,0.32392035603116354,100633
52,2014,e10,mean,0.03935716573917175,0.001447942316347177,0.0,0.03651924128732753,0.04219509019101597,356163
53,2015,e10,mean,0.04850306488078738,0.0019452229740275443,0.0,0.044690490772309,0.05231563898926576,647274
54,2016,e10,mean,0.06362031521125379,0.002657806681380917,0.0,0.05841110036087501,0.06882953006163256,666044
55,2017,e10,mean,0.0800122853926059,0.0029903110647072875,0.0,0.0741513728963972,0.08587319788881459,675909
56,2018,e10,mean,0.10723222979797133,0.0032719098947708563,0.0,0.10081939274617777,0.11364506684976489,675842
57,2019,e10,mean,0.14692690109785927,0.004719237528568296,0.0,0.13767734865612363,0.15617645353959492,665105
58,2020,e10,mean,0.16835233885166007,0.005979994332708288,0.0,0.15663174293836496,0.18007293476495517,634242
59,2021,e10,mean,0.19096913098193524,0.006779560261434329,0.0,0.17768141123628775,0.20425685072758273,624061
60,2022,e10,mean,0.20944289392574478,0.00785855549066073,0.0,0.19404037795054213,0.22484540990094742,617169
61,2023,e10,mean,0.2733586836338073,0.01009964740769965,0.0,0.2535636991227676,0.29315366814484695,609842
62,2024,e10,mean,0.2853761262786245,0.012172933731139257,0.0,0.26151756666097736,0.3092346858962717,603384
63,2025,e10,mean,0.2990101880640827,0.013092031162085176,0.0,0.2733502265108409,0.3246701496173245,598113
64,2026,e10,mean,0.2890945864747891,0.013977872589452474,0.0,0.2616981172049909,0.31649105574458725,97279
65,2014,e10,median,0.04262991189394346,0.0016634776117007489,0.0,0.03936954458784074,0.04589027920004618,356163
66,2015,e10,median,0.05126281546800148,0.002068194827435033,0.0,0.04720922050451939,0.055316410431483574,647274
67,2016,e10,median,0.0650510028672469,0.0027233576392077696,0.0,0.05971331026663883,0.07038869546785496,666044
68,2017,e10,median,0.08321144551152077,0.00315589849221482,0.0,0.07702598703929371,0.08939690398374782,675909
69,2018,e10,median,0.10866963465204534,0.003319885762170294,0.0,0.10216276645943621,0.11517650284465446,675842
70,2019,e10,median,0.14844574041835173,0.0047880449901870235,0.0,0.139061327584281,0.15783015325242247,665105
71,2020,e10,median,0.1718227184589438,0.006107294946627857,0.0,0.15985261745045076,0.18379281946743686,634242
72,2021,e10,median,0.1935623974277154,0.006865103377608813,0.0,0.18010701592967343,0.20701777892575735,624061
73,2022,e10,median,0.2157928235700336,0.008074103698290848,0.0,0.1999678400414244,0.2316178070986428,617169
74,2023,e10,median,0.2778234188596865,0.01026587593560202,0.0,0.2577026317733399,0.29794420594603305,609842
75,2024,e10,median,0.2876337975543819,0.012263429356508837,0.0,0.26359786941401836,0.31166972569474544,603384
76,2025,e10,median,0.3024583514717352,0.013231190813212623,0.0,0.2765256414615516,0.3283910614819188,598113
77,2026,e10,median,0.29294220503076057,0.014203372639069366,0.0,0.26510375826115823,0.3207806518003629,97279
