brand_normalized,year,price_update_count,diesel_mean,e5_mean,e10_mean
AVIA,2022,5979039,1.9572865122560432,1.9143614631224601,1.8552543742183476
AVIA,2023,6148559,1.716581012488582,1.8407032979741758,1.781074921306817
AVIA,2024,6985800,1.630963573331898,1.7789831279199677,1.719158307424913
AVIA,2025,7899323,1.5956880825352218,1.728731175796585,1.669387687100934
AVIA,2026,1322214,1.694886108365294,1.7909934397867242,1.731504904148856
ESSO,2014,1422202,1.342755464739274,1.5294890994832024,1.4892527030982772
ESSO,2015,2743809,1.1664525549680056,1.386082750019276,1.36567034812592
ESSO,2016,3288297,1.0783263249520678,1.299629580530014,1.2795757459806014
ESSO,2017,4140026,1.157141414168256,1.3631565084717185,1.3428443902597567
ESSO,2018,4760087,1.2881935799496598,1.45417961851155,1.4330451290802286
ESSO,2019,6218424,1.2722960652977,1.4405405676787846,1.4201640856057973
ESSO,2020,8288441,1.1122459900777468,1.2907301862268636,1.2558721592255888
ESSO,2021,9552956,1.4055926237871417,1.598782898829023,1.5398170167066265
ESSO,2022,10263418,1.9627120653762309,1.9303679597686032,1.8717902217460187
ESSO,2023,10426002,1.7356031978909263,1.8594889695973589,1.800552354234801
ESSO,2024,11865433,1.6465937080356257,1.7941326794782353,1.735232157279382
ESSO,2025,10701411,1.6075478058588177,1.7416786297453846,1.6846807028202544
ESSO,2026,1711239,1.7121435077157545,1.807960957528434,1.7491026501548717
HEM,2014,429460,1.304016240113851,1.496430031201431,1.4561178289731673
HEM,2015,1166053,1.1384574427476004,1.3655209506529078,1.3450288445199292
HEM,2016,1433152,1.0573588397757276,1.2801538381283681,1.2597055189070734
HEM,2017,1845587,1.1343591245229008,1.3440341072284692,1.32369387477304
HEM,2018,1881754,1.2551079429496976,1.4257725195340505,1.4056070426059095
HEM,2019,2251066,1.23798349312347,1.4074668079020578,1.3871652762415487
HEM,2020,3100605,1.088625590122144,1.269698149635737,1.2335841741876843
HEM,2021,3483266,1.375355779137903,1.5709826872882449,1.5116880579940486
HEM,2022,3588048,1.9328964123721457,1.8978802707697737,1.8377254495632378
HEM,2023,3599056,1.7108259576028877,1.8306053916431448,1.7706193088252449
HEM,2024,4451015,1.6304917147595805,1.7720730230875688,1.7117911182367473
HEM,2025,5228406,1.5936397855835338,1.7195220795788526,1.6607147505223345
HEM,2026,872919,1.7012881387614678,1.7889490218271673,1.7307008753186082
HOYER,2014,83310,1.3038782115929501,1.4974061963508605,1.4563182756805637
HOYER,2015,162084,1.136897469776861,1.3622849581685164,1.3415004727188689
HOYER,2016,180717,1.0452036414767412,1.2779544844744737,1.2560589470466672
HOYER,2017,187284,1.1319504659172828,1.3482462942768285,1.328035810924533
HOYER,2018,205038,1.242679455850003,1.4159577181064227,1.3958377917658042
HOYER,2019,216068,1.232780576305388,1.4021272169770813,1.38190613536104
HOYER,2020,250053,1.0927912897715224,1.2739166286501304,1.2386496242128784
